sampleid, areatype, areacode
1, REGION, E12000005
2, REGION, E12000005
3, REGION, E12000005
4, REGION, E12000005
5, REGION, E12000005
6, REGION, E12000005
7, REGION, E12000005
8, REGION, E12000005
9, REGION, E12000005
10, REGION, E12000005
11, REGION, E12000005
12, REGION, E12000005
13, REGION, E12000005
14, REGION, E12000005
15, REGION, E12000005
16, REGION, E12000005
17, REGION, E12000005
18, REGION, E12000005
19, REGION, E12000005
20, REGION, E12000005
21, REGION, E12000005
22, REGION, E12000005
23, REGION, E12000006
24, REGION, E12000006
25, REGION, E12000003
